"geneID","logfc.DE","B.DE","genes.location.DE","symbol.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000180777",-0.00643907243288311,-7.67598601783812,"chr18:14796246:14796248:+,chr18:14796342:14796388:+","ANKRD30B",-0.0422341433644497,-5.96953971999722,-2.81616395496895,-2.75446403275891,0.000463617943156947,0.0598350329085236,2.79454975297423,-8.43329957454515,-2.80112232232071,-8.88525758835449
"ENSG00000145592",0.0459989442051825,-7.56513645216694,"chr8:57500952:57501001:+","RPL37",0.232727336340381,-2.33736209701735,-1.52849603833483,-1.28405022940808,0.000517938253474399,0.216861573672696,1.32666250907509,-8.49847546264496,-1.33130219799477,-7.4795800219256
"ENSG00000101191",0.0696017641682918,-6.98438886159123,"chr20:61537245:61537294:-","DIDO1",0.0539175347297897,-3.23664004971908,-1.44648136293784,-1.17808268549796,0.000925372071301422,0.235397109592492,1.21799005122361,-7.94136508950599,-1.22624108054919,-6.81612297767604
"ENSG00000134250",0.0783966222110921,-6.79323592556157,"chr1:120477760:120477809:-","NOTCH2",0.173515355802402,-2.25853458123819,-1.43851412558845,-1.16764975250985,0.00112007836017752,0.237280065252972,1.20623930820825,-7.75283314933555,-1.21622118437234,-6.61699068442734
"ENSG00000106780",-0.0413207217778675,-7.40836769477481,"chr9:123421660:123421709:-","MEGF9",-0.105557244898462,-3.03731775741249,-1.14056956393691,-0.755440887243171,0.000605792117934293,0.319636916300429,0.797898266015185,-8.4780974466729,-0.803438445407614,-6.93018384998276
"ENSG00000077150",-0.0593640047198765,-7.18712107548586,"chr10:104161910:104161916:+,chr10:104162012:104162054:+","NFKB2",0.139239384313126,-2.838284598818,-0.992822111096945,-0.529945760583772,0.000755691712329262,0.370529538604163,0.571627144144054,-8.33269958938948,-0.57881403120128,-6.55888428725926
"ENSG00000120889",-0.0562563503710685,-7.1928584508817,"chr8:22877811:22877860:-","TNFRSF10B",-0.642342028435526,-4.84992370064463,-0.588605826869829,0.221301379616762,0.000751371687656576,0.555100651918811,-0.179243699935254,-8.67765279335669,0.169991831566823,-6.15180929596158
"ENSG00000183826",0.0503417267935573,-7.2737967751292,"chr6:38142866:38142915:-","BTBD9",-0.711561131021467,-5.25576296570959,-0.52182937563977,0.378179480230946,0.000692993451155345,0.593433940771802,-0.335752212432187,-8.84688671749215,0.326532529600776,-6.1641646972808
"ENSG00000176444",0.00438112109753419,-7.67711124029155,"chr1:155232976:155233025:-","CLK2",-0.218040167514808,-3.41311840880635,-0.419861900322514,0.650564073265928,0.000463096804676086,0.657137564034695,-0.606820152066528,-9.41711163965915,0.599645946832676,-6.46248409418107
"ENSG00000137845",0.101969912747849,-6.6126604056794,"chr15:58889101:58889150:-","ADAM10",-0.267415843666974,-3.07487581352409,-0.327338857870334,0.948629319225692,0.00134145188123914,0.720839439519532,-0.90959237961932,-8.55863653184459,0.884583663512488,-5.3026479392304
"ENSG00000139910",0.0225470685231359,-7.59458197997746,"chr14:26949192:26949241:-","NOVA1",-2.52643352146994,-6.73175276196291,-0.300869792023654,1.04687386130716,0.000502917195002483,0.740174143049791,-1.00330324811643,-9.60837742061391,0.993238926217226,-6.25707060979981
"ENSG00000185475",-0.170294338557053,-4.80400385012107,"chr11:62557634:62557683:+","TMEM179B",-0.446052462679611,-3.25936150239181,-0.309816442907728,1.01287082311126,0.00813021995904743,0.733581597971755,-1.00989961028174,-6.82160795344068,0.856515939128991,-3.47680333530574
"ENSG00000181163",-0.0574443716388675,-7.36182290840917,"chr3:147309164:147309213:-","NPM1",-0.288668646633774,-3.34878992448401,-0.288419160506729,1.09566719064545,0.000634636764822563,0.749447387645791,-1.05280011804463,-9.41205964315724,1.03966803314959,-6.01144153324157
"ENSG00000140931",-0.0236600661460189,-7.59475411335604,"chr16:66638582:66638631:+","CMTM3",-0.812575928817727,-4.78214562989862,-0.249269562955279,1.26199797223458,0.000502830677142547,0.779369855824426,-1.21840913047219,-9.77034235360166,1.20666702522075,-6.20379670841244
"ENSG00000140941",0.0311877284107958,-7.52426912047247,"chr16:87438024:87438073:+","MAP1LC3B",-0.308170424770916,-3.19776962221869,-0.175517657776023,1.65097352549889,0.000539531818153477,0.839022581769835,-1.60755540052662,-10.0126002201066,1.59052778171125,-6.05674716362636
"ENSG00000134884",-0.0614755249664292,-7.24552303874271,"chr13:107195861:107195910:-","ARGLU1",-0.468819987431792,-3.84959821728571,-0.140130738578813,1.89429601703959,0.000712852418706143,0.869244584168092,-1.85178106335684,-9.94123452898196,1.82435012925343,-5.74119578322626
"ENSG00000104093",0.00579252067323743,-7.67496788938093,"chr15:51742396:51742445:-","DMXL2",-0.313645668239886,-3.48448867657042,-0.13728349577891,1.91628027279162,0.000464089986977013,0.871723061290416,-1.87245138823912,-10.3885877773862,1.85419708165301,-6.16765924993604
"ENSG00000104472",0.0086212421023184,-7.66652854970562,"chr8:141526889:141526938:+","CHRAC1",-0.406616325465511,-3.1012874659769,-0.132772591348989,1.95199674251028,0.000468021332605827,0.875664203083296,-1.90818735543677,-10.4111960862269,1.88921433653677,-6.1545227417482
"ENSG00000167972",0.0414551184886776,-7.36855406030511,"chr16:2326150:2326199:-","ABCA3",-1.20849331279686,-4.74231737512732,-0.131125701188587,1.96531970226257,0.000630381957191518,0.87710751400423,-1.92236615228693,-10.125570031012,1.89658232683363,-5.85484339212066
"ENSG00000213672",-0.00598110258914453,-7.67354392980553,"chr3:48711373:48711422:-","NCKIPSD",-0.612142986353757,-3.1422590697963,-0.114276883050724,2.11144846075672,0.000464750995742457,0.892010938976525,-2.06761676016174,-10.5584235175597,2.04601390502721,-6.14226820391804
"ENSG00000110925",-0.0362596376894064,-7.46344541988786,"chr12:51455273:51455322:-","CSRNP2",-0.358410119341468,-3.28742799064154,-0.103195325415184,2.21909038018882,0.000573347291428906,0.901950782363735,-2.1758267210815,-10.4449490444077,2.14661675160716,-5.92062273135609
"ENSG00000167671",0.0313538034603109,-7.57453021889493,"chr19:4445565:4445614:-","UBXN6",-0.398814652492032,-3.66716358873523,-0.0788281286052346,2.500812421511,0.000513098127862461,0.924198754124469,-2.4572248617731,-10.8121193963422,2.4236207127113,-6.00628183430644
"ENSG00000179562",0.0643785990285366,-6.91165129422897,"chr7:127220731:127220780:-","GCC1",-0.416831001775137,-3.74212771078901,-0.0741965600423811,2.5637098406025,0.000995120313521692,0.928489172032622,-2.52264569799549,-10.2096348873456,2.45460675209403,-5.33858560418171
"ENSG00000168758",0.00644454414006024,-7.67178963983116,"chr2:97525755:97525804:-","SEMA4C",-0.582971397714095,-3.41772803787838,-0.0664815442046809,2.6774059771208,0.000465566639403222,0.935680184418944,-2.63356590416136,-11.0728848971869,2.59774755547846,-6.09064797203909
